run_name,timestamp,returncode,log_file,num_group,group_size,freeze_encoder,drop_path,lr,weight_decay,gamma,batch_size,trans_dim,depth,cls_dim,encoder_dims
run001_baseline,2026-09-12T11:36:46,2,sweep_logs_mamba/run001_baseline.log,64,32,False,0.1,0.0001,0.05,0.8,70,512,12,1000,512
run002_freeze_encoder,2026-09-12T11:36:46,2,sweep_logs_mamba/run002_freeze_encoder.log,64,32,True,0.1,0.0001,0.05,0.8,70,512,12,1000,512
run003_groups_undersampled,2026-09-12T11:36:46,2,sweep_logs_mamba/run003_groups_undersampled.log,32,32,False,0.1,0.0001,0.05,0.8,70,512,12,1000,512
run004_groups_oversampled,2026-09-12T11:36:46,2,sweep_logs_mamba/run004_groups_oversampled.log,128,32,False,0.1,0.0001,0.05,0.8,70,512,12,1000,512
run005_groups_fewer_larger,2026-09-12T11:36:46,2,sweep_logs_mamba/run005_groups_fewer_larger.log,32,64,False,0.1,0.0001,0.05,0.8,70,512,12,1000,512
run006_drop_path_0.0,2026-09-12T11:36:46,2,sweep_logs_mamba/run006_drop_path_0.0.log,64,32,False,0.0,0.0001,0.05,0.8,70,512,12,1000,512
run007_drop_path_0.3,2026-09-12T11:36:46,2,sweep_logs_mamba/run007_drop_path_0.3.log,64,32,False,0.3,0.0001,0.05,0.8,70,512,12,1000,512
run008_weight_decay_0.0,2026-09-12T11:36:46,2,sweep_logs_mamba/run008_weight_decay_0.0.log,64,32,False,0.1,0.0001,0.0,0.8,70,512,12,1000,512
run009_weight_decay_0.2,2026-09-12T11:36:46,2,sweep_logs_mamba/run009_weight_decay_0.2.log,64,32,False,0.1,0.0001,0.2,0.8,70,512,12,1000,512
run010_lr_1e-3,2026-09-12T11:36:46,2,sweep_logs_mamba/run010_lr_1e-3.log,64,32,False,0.1,0.001,0.05,0.8,70,512,12,1000,512
run011_lr_1e-5,2026-09-12T11:36:46,2,sweep_logs_mamba/run011_lr_1e-5.log,64,32,False,0.1,1e-05,0.05,0.8,70,512,12,1000,512
run012_gamma_0.3_very_aggressive,2026-09-12T11:36:46,2,sweep_logs_mamba/run012_gamma_0.3_very_aggressive.log,64,32,False,0.1,0.0001,0.05,0.3,70,512,12,1000,512
run013_gamma_0.5_aggressive,2026-09-12T11:36:46,2,sweep_logs_mamba/run013_gamma_0.5_aggressive.log,64,32,False,0.1,0.0001,0.05,0.5,70,512,12,1000,512
run014_gamma_0.6,2026-09-12T11:36:46,2,sweep_logs_mamba/run014_gamma_0.6.log,64,32,False,0.1,0.0001,0.05,0.6,70,512,12,1000,512
run015_gamma_0.7,2026-09-12T11:36:46,2,sweep_logs_mamba/run015_gamma_0.7.log,64,32,False,0.1,0.0001,0.05,0.7,70,512,12,1000,512
run016_gamma_0.9,2026-09-12T11:36:46,2,sweep_logs_mamba/run016_gamma_0.9.log,64,32,False,0.1,0.0001,0.05,0.9,70,512,12,1000,512
run017_gamma_0.95_gentle,2026-09-12T11:36:46,2,sweep_logs_mamba/run017_gamma_0.95_gentle.log,64,32,False,0.1,0.0001,0.05,0.95,70,512,12,1000,512
run018_gamma_0.99_very_gentle,2026-09-12T11:36:46,2,sweep_logs_mamba/run018_gamma_0.99_very_gentle.log,64,32,False,0.1,0.0001,0.05,0.99,70,512,12,1000,512
run019_batch_size_32,2026-09-12T11:36:46,2,sweep_logs_mamba/run019_batch_size_32.log,64,32,False,0.1,0.0001,0.05,0.8,32,512,12,1000,512
run020_batch_size_128,2026-09-12T11:36:46,2,sweep_logs_mamba/run020_batch_size_128.log,64,32,False,0.1,0.0001,0.05,0.8,128,512,12,1000,512
run021_combined_guess,2026-09-12T11:36:46,2,sweep_logs_mamba/run021_combined_guess.log,64,32,False,0.1,0.0001,0.05,0.8,70,512,12,1000,512
run001_baseline,2026-09-12T11:38:00,1,sweep_logs_mamba/run001_baseline.log,64,32,False,0.1,0.0001,0.05,0.8,70,512,12,1000,512
run002_freeze_encoder,2026-09-12T11:38:02,1,sweep_logs_mamba/run002_freeze_encoder.log,64,32,True,0.1,0.0001,0.05,0.8,70,512,12,1000,512
run003_groups_undersampled,2026-09-12T11:38:04,1,sweep_logs_mamba/run003_groups_undersampled.log,32,32,False,0.1,0.0001,0.05,0.8,70,512,12,1000,512
run004_groups_oversampled,2026-09-12T11:38:07,1,sweep_logs_mamba/run004_groups_oversampled.log,128,32,False,0.1,0.0001,0.05,0.8,70,512,12,1000,512
run005_groups_fewer_larger,2026-09-12T11:38:09,1,sweep_logs_mamba/run005_groups_fewer_larger.log,32,64,False,0.1,0.0001,0.05,0.8,70,512,12,1000,512
run006_drop_path_0.0,2026-09-12T11:38:11,1,sweep_logs_mamba/run006_drop_path_0.0.log,64,32,False,0.0,0.0001,0.05,0.8,70,512,12,1000,512
run007_drop_path_0.3,2026-09-12T11:38:14,1,sweep_logs_mamba/run007_drop_path_0.3.log,64,32,False,0.3,0.0001,0.05,0.8,70,512,12,1000,512
run008_weight_decay_0.0,2026-09-12T11:38:16,1,sweep_logs_mamba/run008_weight_decay_0.0.log,64,32,False,0.1,0.0001,0.0,0.8,70,512,12,1000,512
run009_weight_decay_0.2,2026-09-12T11:38:18,1,sweep_logs_mamba/run009_weight_decay_0.2.log,64,32,False,0.1,0.0001,0.2,0.8,70,512,12,1000,512
run010_lr_1e-3,2026-09-12T11:38:21,1,sweep_logs_mamba/run010_lr_1e-3.log,64,32,False,0.1,0.001,0.05,0.8,70,512,12,1000,512
