run_name,timestamp,model_type,n_patches,points_per_patch,freeze_encoder,drop_path_rate,pointcam_checkpoint_path,lr,weight_decay,gamma,batch_size,epochs_requested,epochs_completed,best_train_loss,final_train_loss,final_train_accuracy1,final_train_accuracy2,final_val_loss,final_val_accuracy1,final_val_accuracy2,total_training_time_sec,checkpoint_saved
run001_n_patches=32_points_per_patch=16_drop_path_rate=0.0_lr=0.001_freeze_encoder=False,2026-08-26T15:43:31,lane_following,32,16,False,0.0,,0.001,0.05,0.8,70,100,100,0.0003936636254488067,0.0004043740677780297,"tensor(0.9114, device='cuda:0')","tensor(0.8668, device='cuda:0')",0.0004074102617963728,"tensor(0.9950, device='cuda:0')","tensor(0.9160, device='cuda:0')",1370.6,pointcam_shuttle_lane_following.pth
run002_n_patches=32_points_per_patch=16_drop_path_rate=0.0_lr=0.001_freeze_encoder=True,2026-08-26T15:58:31,lane_following,32,16,True,0.0,,0.001,0.05,0.8,70,100,100,0.0003923697065404916,0.0003939780536154292,"tensor(0.9138, device='cuda:0')","tensor(0.8707, device='cuda:0')",0.00042176262641962044,"tensor(0.9944, device='cuda:0')","tensor(0.9166, device='cuda:0')",891.7,pointcam_shuttle_lane_following.pth
run003_n_patches=32_points_per_patch=16_drop_path_rate=0.0_lr=0.0001_freeze_encoder=False,2026-08-26T16:21:40,lane_following,32,16,False,0.0,,0.0001,0.05,0.8,70,100,100,0.0003942873268772917,0.0003961085464947275,"tensor(0.9186, device='cuda:0')","tensor(0.8682, device='cuda:0')",0.00042239690672454415,"tensor(0.9956, device='cuda:0')","tensor(0.9210, device='cuda:0')",1381.0,pointcam_shuttle_lane_following.pth
run004_n_patches=32_points_per_patch=16_drop_path_rate=0.0_lr=0.0001_freeze_encoder=True,2026-08-26T16:36:41,lane_following,32,16,True,0.0,,0.0001,0.05,0.8,70,100,100,0.0003919596821046358,0.0004050821944227935,"tensor(0.9141, device='cuda:0')","tensor(0.8675, device='cuda:0')",0.0003971375162978905,"tensor(0.9937, device='cuda:0')","tensor(0.9260, device='cuda:0')",892.1,pointcam_shuttle_lane_following.pth
run005_n_patches=32_points_per_patch=16_drop_path_rate=0.0_lr=1e-05_freeze_encoder=False,2026-08-26T16:59:45,lane_following,32,16,False,0.0,,1e-05,0.05,0.8,70,100,100,0.0004153014853454193,0.0004274582221396273,"tensor(0.9177, device='cuda:0')","tensor(0.8649, device='cuda:0')",0.0004700876655623457,"tensor(0.9893, device='cuda:0')","tensor(0.9197, device='cuda:0')",1376.3,pointcam_shuttle_lane_following.pth
run006_n_patches=32_points_per_patch=16_drop_path_rate=0.0_lr=1e-05_freeze_encoder=True,2026-08-26T17:14:45,lane_following,32,16,True,0.0,,1e-05,0.05,0.8,70,100,100,0.00042138685421064216,0.00043399535647463064,"tensor(0.9139, device='cuda:0')","tensor(0.8669, device='cuda:0')",0.0004272734962380418,"tensor(0.9950, device='cuda:0')","tensor(0.9235, device='cuda:0')",891.4,pointcam_shuttle_lane_following.pth
run007_n_patches=32_points_per_patch=16_drop_path_rate=0.1_lr=0.001_freeze_encoder=False,2026-08-26T17:37:47,lane_following,32,16,False,0.1,,0.001,0.05,0.8,70,100,100,0.0003962215076449299,0.0004050077830776654,"tensor(0.9158, device='cuda:0')","tensor(0.8653, device='cuda:0')",0.00039405031334083284,"tensor(0.9962, device='cuda:0')","tensor(0.9185, device='cuda:0')",1373.8,pointcam_shuttle_lane_following.pth
run008_n_patches=32_points_per_patch=16_drop_path_rate=0.1_lr=0.001_freeze_encoder=True,2026-08-26T17:52:45,lane_following,32,16,True,0.1,,0.001,0.05,0.8,70,100,100,0.0003932218633383059,0.00039628308209753985,"tensor(0.9149, device='cuda:0')","tensor(0.8658, device='cuda:0')",0.0004271952417857221,"tensor(0.9912, device='cuda:0')","tensor(0.9135, device='cuda:0')",890.0,pointcam_shuttle_lane_following.pth
run009_n_patches=32_points_per_patch=16_drop_path_rate=0.1_lr=0.0001_freeze_encoder=False,2026-08-26T18:15:48,lane_following,32,16,False,0.1,,0.0001,0.05,0.8,70,100,100,0.00039180286893240613,0.0004075919465573721,"tensor(0.9130, device='cuda:0')","tensor(0.8646, device='cuda:0')",0.0003913550272724098,"tensor(0.9925, device='cuda:0')","tensor(0.9160, device='cuda:0')",1374.4,pointcam_shuttle_lane_following.pth
run010_n_patches=32_points_per_patch=16_drop_path_rate=0.1_lr=0.0001_freeze_encoder=True,2026-08-26T18:30:48,lane_following,32,16,True,0.1,,0.0001,0.05,0.8,70,100,100,0.0003949273298817904,0.0004027980763881553,"tensor(0.9139, device='cuda:0')","tensor(0.8674, device='cuda:0')",0.00042616754630142616,"tensor(0.9937, device='cuda:0')","tensor(0.9179, device='cuda:0')",892.6,pointcam_shuttle_lane_following.pth
