run_name,timestamp,model_type,n_patches,points_per_patch,freeze_encoder,drop_path_rate,pointcam_checkpoint_path,lr,weight_decay,gamma,batch_size,epochs_requested,epochs_completed,best_train_loss,final_train_loss,final_train_accuracy1,final_train_accuracy2,final_val_loss,final_val_accuracy1,final_val_accuracy2,total_training_time_sec,checkpoint_saved
run001_baseline,2026-09-07T15:34:10,lane_following,64,32,False,0.1,,0.0001,0.05,0.8,70,5,5,0.0006136827656730886,0.0006136827656730886,"tensor(0.9155, device='cuda:0')","tensor(0.8401, device='cuda:0')",0.0005780877399500635,"tensor(0.9944, device='cuda:0')","tensor(0.9279, device='cuda:0')",115.6,pointcam_shuttle_lane_following.pth
run001_baseline,2026-09-07T15:39:59,lane_following,64,32,False,0.1,,0.0001,0.05,0.8,70,5,5,0.0005915018365308023,0.0006679634461864108,"tensor(0.9136, device='cuda:0')","tensor(0.8483, device='cuda:0')",0.0005492661195021811,"tensor(0.9204, device='cuda:0')","tensor(0.9248, device='cuda:0')",113.0,pointcam_shuttle_lane_following.pth
run002_baseline,2026-09-07T15:42:01,lane_following,64,32,False,0.1,,0.0001,0.05,0.8,70,5,5,0.0005767446333668901,0.0005767446333668901,"tensor(0.9152, device='cuda:0')","tensor(0.8688, device='cuda:0')",0.00048684682872228115,"tensor(0.9931, device='cuda:0')","tensor(0.9204, device='cuda:0')",113.7,pointcam_shuttle_lane_following.pth
run001_baseline,2026-09-07T15:49:44,lane_following,64,32,False,0.1,,0.0001,0.05,0.8,70,10,10,0.0005251569613559733,0.0005421453126523539,"tensor(0.9152, device='cuda:0')","tensor(0.8660, device='cuda:0')",0.0005127797726553436,"tensor(0.9931, device='cuda:0')","tensor(0.9304, device='cuda:0')",225.9,pointcam_shuttle_lane_following.pth
run002_baseline,2026-09-07T15:53:42,lane_following,64,32,False,0.1,,0.0001,0.05,0.8,70,10,10,0.0004887617400333899,0.0005099751180215097,"tensor(0.9133, device='cuda:0')","tensor(0.8671, device='cuda:0')",0.00042624282052150715,"tensor(0.9925, device='cuda:0')","tensor(0.9248, device='cuda:0')",229.3,pointcam_shuttle_lane_following.pth
run003_baseline,2026-09-07T15:57:40,lane_following,64,32,False,0.1,,0.0001,0.05,0.8,70,10,10,0.0005094909800768721,0.0005094909800768721,"tensor(0.9152, device='cuda:0')","tensor(0.8726, device='cuda:0')",0.0005580107001208213,"tensor(0.9962, device='cuda:0')","tensor(0.9122, device='cuda:0')",230.0,pointcam_shuttle_lane_following.pth
run004_baseline,2026-09-07T16:01:38,lane_following,64,32,False,0.1,,0.0001,0.05,0.8,70,10,10,0.00047068932838416767,0.00047068932838416767,"tensor(0.9149, device='cuda:0')","tensor(0.8682, device='cuda:0')",0.0006074205157711962,"tensor(0.9837, device='cuda:0')","tensor(0.9210, device='cuda:0')",230.5,pointcam_shuttle_lane_following.pth
run005_baseline,2026-09-07T16:05:37,lane_following,64,32,False,0.1,,0.0001,0.05,0.8,70,10,10,0.0004981399295805745,0.0004981399295805745,"tensor(0.9150, device='cuda:0')","tensor(0.8668, device='cuda:0')",0.0005687384723122217,"tensor(0.9881, device='cuda:0')","tensor(0.9223, device='cuda:0')",230.7,pointcam_shuttle_lane_following.pth
run006_freeze_encoder,2026-09-07T16:07:45,lane_following,64,32,True,0.1,,0.0001,0.05,0.8,70,10,10,0.0005319391011252712,0.0005319391011252712,"tensor(0.9144, device='cuda:0')","tensor(0.8638, device='cuda:0')",0.0005543289022946433,"tensor(0.9423, device='cuda:0')","tensor(0.9285, device='cuda:0')",119.4,pointcam_shuttle_lane_following.pth
run007_freeze_encoder,2026-09-07T16:09:53,lane_following,64,32,True,0.1,,0.0001,0.05,0.8,70,10,10,0.0005187371748333572,0.0005187371748333572,"tensor(0.9161, device='cuda:0')","tensor(0.8646, device='cuda:0')",0.00048123366640279283,"tensor(0.9774, device='cuda:0')","tensor(0.9292, device='cuda:0')",120.7,pointcam_shuttle_lane_following.pth
run008_freeze_encoder,2026-09-07T16:12:01,lane_following,64,32,True,0.1,,0.0001,0.05,0.8,70,10,10,0.000512557310379398,0.0005182550910835188,"tensor(0.9149, device='cuda:0')","tensor(0.8678, device='cuda:0')",0.0005392544835712469,"tensor(0.9925, device='cuda:0')","tensor(0.9235, device='cuda:0')",119.6,pointcam_shuttle_lane_following.pth
run009_freeze_encoder,2026-09-07T16:14:11,lane_following,64,32,True,0.1,,0.0001,0.05,0.8,70,10,10,0.0005100029411921775,0.0005100029411921775,"tensor(0.9152, device='cuda:0')","tensor(0.8694, device='cuda:0')",0.00049769300558724,"tensor(0.9931, device='cuda:0')","tensor(0.9122, device='cuda:0')",121.5,pointcam_shuttle_lane_following.pth
run010_freeze_encoder,2026-09-07T16:16:19,lane_following,64,32,True,0.1,,0.0001,0.05,0.8,70,10,10,0.0005098834372782412,0.0005278955163356185,"tensor(0.9149, device='cuda:0')","tensor(0.8657, device='cuda:0')",0.0005174284141078638,"tensor(0.9925, device='cuda:0')","tensor(0.9292, device='cuda:0')",120.1,pointcam_shuttle_lane_following.pth
