time,lat,lon,, Log Jun 16 2023, from Barry to Oceans
wp0,-31.984774335,115.818738309,-20,1.5707963267949,
wp1,-31.984725119,115.818738572,-20,1.56545258694164,
wp2,-31.984648901,115.818736863,-20,1.59321509504012,
wp3,-31.984564733,115.81873439,-20,1.60016958894594,
wp4,-31.984482274,115.818735474,-20,1.55765115704079,
wp5,-31.984380902,115.818736472,-20,1.56095171720472,
wp6,-31.984257721,115.818735769,-20,1.57650331379428,
wp7,-31.984126385,115.818737646,-20,1.5565057116847,
wp8,-31.983992943,115.8187403,-20,1.55091015797179,
wp9,-31.983875101,115.818737003,-20,1.59876717028803,
wp10,-31.9837604,115.818738295,-20,1.55953273389732,
wp11,-31.983630737,115.818738477,-20,1.5693926891017,
wp12,-31.983500298,115.818732772,-20,1.61450538949383,
wp13,-31.983340415,115.818745676,-20,1.49026187128303,
wp14,-31.983283427,115.81873952,-20,1.67840181676923,
wp15,-31.983196011,115.818730955,-20,1.66846435874318,
wp16,-31.983081676,115.818720248,-20,1.66416987946015,
wp17,-31.982936291,115.818714981,-20,1.60700843649866,
wp18,-31.982793096,115.818713534,-20,1.58090108431413,
wp19,-31.982658657,115.81871127,-20,1.58763508651092,
wp20,-31.982528184,115.818708781,-20,1.5898707569691,
wp21,-31.982436831,115.818712013,-20,1.53543183388248,
wp22,-31.982437478,115.818711942,-20,-1.68009623978644,
wp23,-31.982437589,115.818713715,-20,-0.062524149658485,
wp24,-31.982430762,115.818717073,-20,1.1136734311351,
wp25,-31.982364904,115.818716017,-20,1.58682945132144,
wp26,-31.982285718,115.818723838,-20,1.47234816040557,
wp27,-31.982187921,115.81872559,-20,1.55288358291836,
wp28,-31.982073245,115.818726496,-20,1.56289597147043,
wp29,-31.981980282,115.818717408,-20,1.66824599915181,
wp30,-31.981874962,115.818718873,-20,1.55688723525186,
wp31,-31.981781785,115.81871642,-20,1.5971164865762,
wp32,-31.981677186,115.818710133,-20,1.63082983915792,
wp33,-31.981584938,115.818693641,-20,1.74770627808812,
wp34,-31.981481537,115.818699,-20,1.51901530443246,
wp35,-31.981376591,115.818711147,-20,1.45556384905794,
wp36,-31.981278373,115.818722189,-20,1.45884302278552,
wp37,-31.981172328,115.818728761,-20,1.50890179558207,
wp38,-31.981092939,115.818731584,-20,1.53525222044961,
wp39,-31.981059206,115.818734193,-20,1.49360733274249,
wp40,-31.981045655,115.818736053,-20,1.43438946195904,
wp41,-31.980976179,115.818609179,-20,2.64059514742644,
wp42,-31.980980163,115.818506188,-20,-3.10292893928143,
wp43,-31.980981946,115.818387654,-20,-3.12655169032197,
wp44,-31.980985995,115.81827964,-20,-3.10412431561159,
wp45,-31.980988697,115.818163816,-20,-3.11826838573645,
wp46,-31.980991178,115.818068675,-20,-3.11552147652671,
wp47,-31.980992951,115.817980061,-20,-3.12158719772947,
wp48,-31.98099418,115.817875031,-20,-3.12989176898165,
wp49,-31.980992745,115.81775881,-20,3.1292461148274,
wp50,-31.980992058,115.817656395,-20,3.13488475244353,
wp51,-31.98099083,115.817568975,-20,3.12754644858761,
wp52,-31.980990832,115.817483857,-20,-3.14156915679517,
wp53,-31.980990056,115.817416777,-20,3.13002489290053,
wp54,-31.980988398,115.81735271,-20,3.11571927089483,
wp55,-31.980986811,115.817273204,-20,3.12163454627776,
wp56,-31.981002197,115.817196658,-20,-2.94323255107774,
wp57,-31.981045581,115.817153503,-20,-2.35354829059834,
wp58,-31.981086103,115.817139742,-20,-1.89817023791464,
wp59,-31.981153296,115.817147226,-20,-1.4598728617809,
wp60,-31.981207295,115.817141379,-20,-1.67865588605858,
wp61,-31.981259947,115.817144577,-20,-1.51013241986237,
wp62,-31.981299441,115.81711035,-20,-2.28487063768509,
wp63,-31.981320814,115.817059196,-20,-2.74582194865792,
wp64,-31.981319202,115.817002579,-20,3.11312832983706,
wp65,-31.981317027,115.816903655,-20,3.11960961982589,
wp66,-31.981320364,115.816793366,-20,-3.11134501111528,
wp67,-31.981334149,115.816694839,-20,-3.00258411278037,
wp68,-31.98134425,115.81659941,-20,-3.03613699384846,
wp69,-31.981347356,115.816506636,-20,-3.10812594610499,
wp70,-31.981345282,115.816426923,-20,3.1155801814707,
wp71,-31.981340445,115.816326426,-20,3.09349897821244,
wp72,-31.981334054,115.816217265,-20,3.08311285915674,
wp73,-31.981333801,115.81610901,-20,3.13925558334828,
wp74,-31.981331803,115.816014874,-20,3.1203712286248,
wp75,-31.981331552,115.815934944,-20,3.13845241620193,
wp76,-31.981334471,115.815892665,-20,-3.07266067292487,
